id,prefecture,first_name,second_name,latitude,longitude,altitude,date_terminated
aichi__ai-xi-kana__isaai,aichi,ai-xi-kana,isaai,35.2166666667,136.698333333,5.0,
aichi__aki-kana__azo,aichi,aki-kana,azo,35.0783333333,137.413333333,613.0,
aichi__centrair-kana__centrair,aichi,centrair-kana,centrair,34.8583333333,136.805,4.0,
aichi__chapel-mountain-kana__chaw-yama,aichi,chapel-mountain-kana,chaw-yama,35.22,137.66,1216.0,
aichi__gamagori-kana__gamagori,aichi,gamagori-kana,gamagori,34.845,137.216666667,55.0,
aichi__horai-kana__horai____2002-12-24,aichi,horai-kana,horai,34.9316666667,137.575,81.0,2002-12-24
aichi__ichinomiya-kana__ichinomiya,aichi,ichinomiya-kana,ichinomiya,35.2983333333,136.853333333,11.0,
aichi__ikki-kana__ishiki,aichi,ikki-kana,ishiki,34.8116666667,137.028333333,12.0,
aichi__inake-kana__inab,aichi,inake-kana,inab,35.2116666667,137.506666667,505.0,
aichi__iragaka-kana__iraco,aichi,iragaka-kana,iraco,34.6283333333,137.093333333,6.2,
aichi__kanie-kana__kanye,aichi,kanie-kana,kanye,35.1366666667,136.791666667,2.0,
aichi__kayama-kana__dekiyama____2005-12-05,aichi,kayama-kana,dekiyama,35.095,137.416666667,946.0,2005-12-05
aichi__kohara-kana__obara,aichi,kohara-kana,obara,35.2283333333,137.285,290.0,
aichi__minamichita-kana__minamichita,aichi,minamichita-kana,minamichita,34.74,136.938333333,16.0,
aichi__nagoya-kana__nagoya,aichi,nagoya-kana,nagoya,35.1666666667,136.965,51.1,
aichi__okazaki-kana__okazaki,aichi,okazaki-kana,okazaki,34.9183333333,137.193333333,47.0,
aichi__oku-kana__oobu,aichi,oku-kana,oobu,34.995,136.943333333,32.0,
aichi__shingo-castle__shinshiro,aichi,shingo-castle,shinshiro,34.9066666667,137.518333333,53.0,
aichi__tahara-kana__tahala,aichi,tahara-kana,tahala,34.6266666667,137.221666667,45.0,
aichi__tokai-kana__NONE____2012-10-17,aichi,tokai-kana,NONE,35.0233333333,136.901666667,10.0,2012-10-17
