p1,p2
F0002/MID1,F0002/MID3
F0002/MID2,F0002/MID3
F0005/MID1,F0005/MID2
F0005/MID3,F0005/MID2
F0009/MID1,F0009/MID4
F0009/MID1,F0009/MID3
F0009/MID1,F0009/MID2
F0009/MID1,F0009/MID6
F0009/MID2,F0009/MID4
F0009/MID2,F0009/MID6
F0009/MID2,F0009/MID3
F0009/MID3,F0009/MID4
F0009/MID3,F0009/MID6
F0009/MID4,F0009/MID6
F0009/MID5,F0009/MID1
F0009/MID5,F0009/MID2
F0009/MID5,F0009/MID4
F0009/MID5,F0009/MID6
F0009/MID5,F0009/MID3
F0009/MID7,F0009/MID3
F0009/MID7,F0009/MID6
F0009/MID7,F0009/MID4
F0009/MID7,F0009/MID1
F0009/MID7,F0009/MID2
F0010/MID1,F0010/MID3
F0010/MID1,F0010/MID4
F0010/MID2,F0010/MID3
F0010/MID2,F0010/MID4
F0010/MID3,F0010/MID4
F0016/MID1,F0016/MID5
F0016/MID1,F0016/MID2
F0016/MID2,F0016/MID4
F0016/MID2,F0016/MID3
F0016/MID3,F0016/MID4
F0017/MID1,F0017/MID3
F0017/MID1,F0017/MID4
F0017/MID1,F0017/MID7
F0017/MID1,F0017/MID5
F0017/MID1,F0017/MID6
F0017/MID2,F0017/MID5
F0017/MID2,F0017/MID4
F0017/MID2,F0017/MID3
F0017/MID2,F0017/MID7
F0017/MID2,F0017/MID6
F0017/MID3,F0017/MID4
F0017/MID3,F0017/MID6
F0017/MID3,F0017/MID5
F0017/MID4,F0017/MID5
F0017/MID4,F0017/MID6
F0017/MID5,F0017/MID7
F0020/MID1,F0020/MID10
F0020/MID1,F0020/MID6
F0020/MID1,F0020/MID5
F0020/MID1,F0020/MID3
F0020/MID1,F0020/MID2
F0020/MID11,F0020/MID3
F0020/MID11,F0020/MID10
F0020/MID11,F0020/MID6
F0020/MID2,F0020/MID6
F0020/MID2,F0020/MID10
F0020/MID2,F0020/MID3
F0020/MID2,F0020/MID5
F0020/MID3,F0020/MID6
F0020/MID3,F0020/MID10
F0020/MID3,F0020/MID5
F0020/MID5,F0020/MID6
F0020/MID5,F0020/MID10
F0020/MID6,F0020/MID10
F0020/MID7,F0020/MID5
F0020/MID7,F0020/MID1
F0020/MID7,F0020/MID3
F0020/MID7,F0020/MID6
