"Libellé ","Intitulé","Title"
"Contribuable",,"Rate payer"
"BCT_CODBUR","Code Bureau de contrôle des impôts","Code Tax Control Office"
"CTR_MATFIS","ID Contribuable","Rate payer ID"
"CTR_CATEGO_x","Catégorie Contribuable","Rate payer category"
"CTR_CODTVA","Code TVA","Code TVA"
"FJU_CODFJU","Code Forme Juridique","Code Legal Form"
"CTR_CESSAT","Code Cessation (0 : Actif, 1 : en cessation)","Cessation Code (0: Active, 1: Inactive)"
"ACT_CODACT","Code Activité","Activity Code"
"CTR_OBLDIR","Obligation ","Obligation"
"CTR_OBLACP","Obligation Acompte Provisionnel","Provisional Down Payment Obligation"
"CTR_OBLRES","Obligation Retenue à la Source","Withholding Tax Obligation"
"CTR_OBLFOP","Obligation Foprolos","Obligation Foprolos"
"CTR_OBLTFP","Obligation Taxe sur la Formation Professionnelle","Obligation Tax on Vocational Training"
"CTR_OBLDCO","Obligation Droit Consommation","Obligation Right Consumption"
"CTR_OBLTVA","Obligation TVA","Obligation TVA"
"CTR_OFODEC","Obligation FODEC","Obligation FODEC"
"CTR_OFODEP","Obligation FODEP","Obligation FODEP"
"CTR_OFODET","Obligation FODET","Obligation FODET"
"CTR_OBLAUT","Obligation Autres taxes","Obligation Other taxes"
"CTR_OBLASS","Obligation Droit d'Assurance","Obligation Insurance Right"
"CTR_ODTIMB","Obligation Droit Timbre","Obligation Right Stamp"
"CTR_OBLTCL","Obligation Taxe sue les Collectivités Locales","Obligation Tax on Local Authorities"
"CTR_OBLTHO","Obligation Taxe Hotelière","Hotel Tax Obligation"
"CTR_OBLDLI","Obligation Droit Licence","Obligation Right License"
"CTR_OBLTVI","Obligation Taxe de Visite","Obligation Visit Fee"
"CTR_RATISS","Ratissage","raking"
"Agrégation annuelle des déclarations TVA",,"Annual aggregation of VAT returns"
"EXE_EXERCI","Année","Année"
"TVA_CHAFF6","Chiffre d'affaire /TVA au taux de 6%","Turnover / VAT at the rate of 6%"
"TVA_CHAFF7","Chiffre d'affaire /TVA au taux de 7%","Turnover / VAT at the rate of 7%"
"TVA_CHAF10","Chiffre d'affaire /TVA au taux de 10%","Turnover / VAT at the rate of 10%"
"TVA_CHAF12","Chiffre d'affaire /TVA au taux de 12%","Turnover / VAT at the rate of 12%"
"TVA_CAF125","Chiffre d'affaire /TVA au taux de 25%","Turnover / VAT at the rate of 25%"
"TVA_CHAF15","Chiffre d'affaire /TVA au taux de 15%","Turnover / VAT at the rate of 15%"
"TVA_CHAF18","Chiffre d'affaire /TVA au taux de 18%","Turnover / VAT at the rate of 18%"
"TVA_CHAF22","Chiffre d'affaire /TVA au taux de 22%","Turnover / VAT at the rate of 22%"
"TVA_CHAF29","Chiffre d'affaire /TVA au taux de 29%","Turnover / VAT at the rate of 29%"
"TVA_CHAF36","Chiffre d'affaire /TVA au taux de 36%","Turnover / VAT at the rate of 36%"
"TVA_TOTDUE","Total TVA Due","Total TVA Due"
"TVA_MOIDEB","Mois de Début","Start Month"
"TVA_CRDINI","Crédit Initial","Initial Credit"
"TVA_BASIMB","Base Achat immeubles","Building Purchase Base"
